iter	Passed	Remaining
398	135914	204723
399	136181	204272
400	136520	203929
401	136857	203583
402	137201	203248
403	137478	202814
404	137746	202368
405	138016	201925
406	138270	201460
407	138495	200953
408	138726	200457
409	138996	200019
410	139260	199572
411	139522	199124
412	139717	198581
413	139997	198160
414	140197	197627
415	140464	197190
416	140718	196736
417	141010	196334
418	141282	195906
419	141527	195443
420	141773	194980
421	142029	194533
422	142287	194089
423	142570	193680
424	142787	193182
425	143017	192704
426	143290	192284
427	143556	191856
428	143773	191362
429	144058	190961
430	144339	190554
431	144669	190213
432	144945	189801
433	145195	189355
434	145436	188899
435	145755	188545
436	146075	188193
437	146346	187778
438	146595	187334
439	146943	187018
440	147225	186619
441	147537	186257
442	147845	185891
443	148086	185441
444	148315	184977
445	148539	184508
446	148766	184044
447	149044	183644
448	149249	183154
449	149506	182730
450	149765	182308
451	150023	181887
452	150293	181480
453	150571	181083
454	150914	180765
455	151247	180435
456	151474	179980
457	151714	179539
458	152011	179168
459	152272	178754
460	152597	178417
461	152842	177985
462	153104	177574
463	153380	177180
464	153596	176718
465	153857	176308
466	154084	175861
467	154431	175550
468	154720	175174
469	154986	174771
470	155193	174304
471	155455	173899
472	155738	173518
473	156064	173185
474	156375	172835
475	156597	172388
476	156835	171959
477	157099	171560
478	157313	171106
479	157561	170691
480	157853	170323
481	158084	169891
482	158351	169498
483	158618	169106
484	158933	168764
485	159196	168367
486	159485	167999
487	159822	167682
488	160123	167327
489	160327	166871
490	160619	166507
491	160817	166047
492	161057	165630
493	161361	165280
494	161649	164915
495	161922	164534
496	162201	164159
497	162418	163723
498	162678	163330
499	162988	162988
500	163242	162590
501	163531	162228
502	163796	161842
503	164074	161469
504	164364	161109
505	164624	160720
506	164966	160411
507	165247	160042
508	165544	159690
509	165785	159283
510	166109	158958
511	166367	158568
512	166755	158303
513	167057	157957
514	167313	157567
515	167576	157183
516	167840	156802
517	168119	156435
518	168422	156091
519	168770	155787
520	169010	155386
521	169279	155010
522	169500	154592
523	169822	154266
524	170161	153955
525	170461	153609
526	170738	153243
527	171002	152865
528	171339	152553
529	171566	152143
530	171953	151875
531	172185	151471
532	172458	151103
533	172780	150778
534	173058	150415
535	173239	149968
536	173503	149593
537	173773	149225
538	174041	148855
539	174283	148463
540	174552	148095
541	174817	147723
542	175071	147343
543	175351	146985
544	175656	146648
545	175890	146253
546	176166	145892
547	176373	145475
548	176634	145103
549	176870	144712
550	177097	144313
551	177316	143909
552	177627	143579
553	177890	143211
554	178123	142819
555	178415	142475
556	178676	142107
557	178965	141761
558	179235	141400
559	179478	141019
560	179758	140666
561	179997	140282
562	180367	140000
563	180658	139658
564	180995	139350
565	181233	138967
566	181546	138641
567	181842	138302
568	182112	137944
569	182394	137595
570	182685	137253
571	183017	136943
572	183256	136562
573	183511	136195
574	183748	135813
575	183973	135424
576	184196	135034
577	184512	134713
578	184799	134370
579	185094	134034
580	185379	133689
581	185735	133397
582	185957	133008
583	186288	132698
584	186532	132326
585	186811	131979
586	187068	131616
587	187401	131308
588	187647	130939
589	187911	130582
590	188187	130234
591	188441	129871
592	188728	129532
593	188986	129172
594	189200	128783
595	189527	128471
596	189819	128135
597	190140	127820
598	190399	127462
599	190658	127105
600	190878	126723
601	191192	126403
602	191476	126063
603	191770	125730
604	192046	125385
605	192332	125047
606	192625	124714
607	192914	124379
608	193187	124033
609	193477	123698
610	193721	123335
611	193983	122982
612	194305	122669
613	194523	122289
614	194823	121962
615	195094	121617
616	195383	121283
617	195674	120951
618	195977	120625
619	196261	120289
620	196577	119972
