iter	MultiClass
481	1.640882699
482	1.64078855
483	1.640635215
484	1.640439944
485	1.640287294
486	1.640057923
487	1.639879861
488	1.639694566
489	1.639584598
490	1.639390973
491	1.639279562
492	1.639172593
493	1.639051077
494	1.638867073
495	1.638675704
496	1.638491377
497	1.638352684
498	1.638177314
499	1.637962951
500	1.637796104
501	1.637580546
502	1.637430069
503	1.637249294
504	1.637114376
505	1.636924096
506	1.63677472
507	1.636497436
508	1.636271868
509	1.636109513
510	1.635928571
511	1.635745233
512	1.635583062
513	1.635325821
514	1.635138134
515	1.63507179
516	1.634895386
517	1.634621911
518	1.634289951
519	1.634105136
520	1.633934544
521	1.633702883
522	1.633567426
523	1.633357615
524	1.633121509
525	1.632821107
526	1.632571754
527	1.632451685
528	1.632165576
529	1.632044262
530	1.631863806
531	1.631754
532	1.631692683
533	1.631466719
534	1.631235998
535	1.631092399
536	1.630967124
537	1.630821202
538	1.630660701
539	1.630476324
540	1.630253575
541	1.630042388
542	1.629889823
543	1.629697787
544	1.629417673
545	1.629187689
546	1.629003265
547	1.628887707
548	1.628694119
549	1.628629855
550	1.628516856
551	1.628361371
552	1.62811355
553	1.628028995
554	1.627871782
555	1.627705933
556	1.627562312
557	1.627426952
558	1.627210397
559	1.627030484
560	1.626869126
561	1.626720361
562	1.626475625
563	1.626288544
564	1.626090513
565	1.625886186
566	1.62572583
567	1.625575754
568	1.625468928
569	1.625288705
570	1.625163186
571	1.624952658
572	1.624761611
573	1.624665984
574	1.624538148
575	1.624400974
576	1.624308398
577	1.624102741
578	1.623935279
579	1.623712802
580	1.62351959
581	1.62324442
582	1.623066775
583	1.622893025
584	1.622750471
585	1.622618993
586	1.622508984
587	1.622330115
588	1.622165119
589	1.622018827
590	1.621864395
591	1.621678538
592	1.621495406
593	1.621366288
594	1.621179154
595	1.620944039
596	1.620757846
597	1.620503552
598	1.62040109
599	1.620269375
600	1.620102084
601	1.619930093
602	1.619839545
603	1.61971202
604	1.619542376
605	1.619412804
606	1.619233465
607	1.618936841
608	1.618855644
609	1.618785712
610	1.618641552
611	1.618466579
612	1.618401292
613	1.618187683
614	1.617960846
615	1.617702203
616	1.61756964
617	1.617454834
618	1.617310992
619	1.617173644
620	1.616940686
621	1.61679618
622	1.616697897
623	1.616525292
624	1.616380882
625	1.616204694
626	1.616049397
627	1.615925819
628	1.615692326
629	1.615513647
630	1.615317004
631	1.615118552
632	1.6150234
633	1.614796179
634	1.614476905
635	1.614272946
636	1.614148036
637	1.613961049
638	1.613801476
639	1.613670475
640	1.613477324
641	1.613246379
642	1.613107537
643	1.612925496
644	1.612734908
645	1.612592307
646	1.612474452
647	1.612297452
648	1.61210455
649	1.61191307
650	1.611689321
651	1.611525338
652	1.611357554
653	1.611190575
654	1.610989424
655	1.610858696
656	1.610657855
657	1.610528409
658	1.610310981
659	1.610024506
660	1.609851804
661	1.60967386
662	1.60952931
663	1.609335463
664	1.609179854
665	1.608930661
666	1.608693942
667	1.608512428
668	1.608326471
669	1.608113067
670	1.607969422
671	1.607770167
672	1.607630584
673	1.60741581
674	1.607214811
675	1.606848576
676	1.606654071
677	1.60647883
678	1.606222417
679	1.606065346
680	1.605941071
681	1.605678621
682	1.605496801
683	1.605344148
684	1.605163588
685	1.604955199
686	1.604726112
687	1.604522242
688	1.604387453
689	1.604216634
690	1.604087766
691	1.603963798
692	1.603684454
693	1.603504757
694	1.603245542
695	1.60311647
696	1.602989365
697	1.602799732
698	1.602597229
699	1.602499787
700	1.602395638
701	1.602218863
702	1.601990837
703	1.601752744
704	1.601567257
705	1.601373957
706	1.601301811
707	1.601123105
708	1.601030936
709	1.600858596
710	1.600586258
711	1.600366964
712	1.600204087
713	1.600051088
714	1.599947797
715	1.599833351
716	1.599622103
717	1.599400406
718	1.599302445
719	1.599137528
720	1.59897552
721	1.598844898
722	1.598774674
723	1.598641909
724	1.598424534
725	1.598160083
726	1.597952933
727	1.597817872
728	1.597679559
729	1.597429874
730	1.597184504
731	1.596994025
732	1.596839096
733	1.596676783
734	1.596481785
735	1.596209867
736	1.595987294
737	1.595769893
738	1.595563356
739	1.595432514
740	1.595381575
741	1.595233401
742	1.595047414
743	1.594837873
744	1.594564377
745	1.59436266
746	1.594243883
747	1.594076324
748	1.593912114
749	1.593686443
750	1.59348052
751	1.593378611
752	1.593191793
753	1.593002545
754	1.592860106
755	1.592663165
756	1.592528239
757	1.592468237
758	1.592296371
759	1.592215245
760	1.592046942
761	1.591807576
762	1.591758909
763	1.591644667
764	1.591584297
765	1.591400417
766	1.591195797
767	1.591073019
768	1.590969149
769	1.590769105
770	1.590655924
771	1.590559063
772	1.590351012
773	1.590254532
774	1.590129232
775	1.589989071
776	1.589844915
777	1.589631732
778	1.589492855
779	1.589298556
780	1.589123363
781	1.58901331
782	1.588815939
783	1.588584443
784	1.588407484
785	1.588106251
786	1.587927709
787	1.587782993
788	1.587679678
789	1.5875087779790	1.5872780479791	1.587112881
792	1.586942804
793	1.586739179794	1.5865331979795	1.5863686379796	1.586213213
797	1.5860598779798	1.5859027180799	1.5857503180800	1.5855931802801	1.5854244803802	1.5852124804803	1.5850954805804	1.5849431806805	1.584811680806	1.5846151808807	1.5844341809	1.583969456
810	1.583858557
811	1.583665485
812	1.583493416
813	1.583347305
814	1.583163873
815	1.582957759
816	1.582817251
817	1.582554842
818	1.582359109
819	1.582249344
820	1.581949863
821	1.581663544
822	1.581473049
823	1.581356024
824	1.581234917
825	1.581043902
826	1.580938761
827	1.58080788
828	1.580576956
829	1.580384811
830	1.580181515
831	1.580055808
832	1.579849653
833	1.579648328
834	1.579391082
835	1.57914936
836	1.579019987
837	1.578856008
838	1.57869014
839	1.5785096
840	1.57822184
841	1.578033816
842	1.577774289
843	1.577569104
844	1.577375507
845	1.577183718
846	1.576982201
847	1.576864528
848	1.57671952
849	1.57658017
850	1.576339715
851	1.576196307
852	1.576020517
853	1.575850331
854	1.575723151
855	1.575535357
856	1.5855	1.576857	1.5856	1.576858	1.5857	1.576859	1.574903544
860	1.5859	1.575861	1.5860	1.575862	1.5861	1.575863	1.5862	1.575864	1.5863	1.575865	1.5864	1.574866	1.865	1.574867	1.5866	1.574868	1.5867	1.574869	1.5868	1.574870	1.869	1.574871	1.5870	1.574872	1.5871	1.573873	1.5872	1.573874	1.5873	1.573875	1.5874	1.573876	1.5875	1.573232372
876	1.573066446
877	1.572904481
878	1.57269914
879	1.572553462
880	1.57240141
881	1.572165772
882	1.571894018
883	1.571760431
884	1.571613387
885	1.571459208
886	1.57131719
887	1.571130004
888	1.570932066
889	1.570792456
890	1.570584071
891	1.570358378
892	1.57009282
893	1.569939279
894	1.569724325
895	1.569526291
896	1.569450453
897	1.569325679
898	1.569171188
899	1.569062138
900	1.568868259
901	1.568645664
902	1.568512435
903	1.568341374
904	1.568183773
905	1.567969114
906	1.567803715
907	1.567631945
908	1.567501822
909	1.567412597
910	1.567216838
911	1.56713134
912	1.566891838
913	1.566673423
914	1.566441638
915	1.56627534
916	1.566135035
917	1.565968256
918	1.565755422
919	1.565413135
920	1.565226533
921	1.565079108
922	1.564950608
923	1.564804552
924	1.564662303
925	1.564522043
926	1.564299846
927	1.564158671
928	1.563876109
929	1.563712661
930	1.563528264
931	1.563406366
932	1.563231115
933	1.563011583
934	1.562893946
935	1.562644127
936	1.562432991
937	1.56226862
938	1.562080741
939	1.561913356
940	1.561746845
941	1.561465022
942	1.56133943
943	1.561140714
944	1.560938316
945	1.560759225
946	1.560667402
947	1.560452804
948	1.560303485
949	1.560169899
950	1.560014511
951	1.559918932
952	1.559748932
953	1.559542881
954	1.559362655
955	1.559204786
956	1.559009065
957	1.558831476
958	1.558733917
959	1.558589399
960	1.558314472
961	1.558152899
962	1.558017746
963	1.557908411
964	1.557745124
965	1.557568932
966	1.557438134
967	1.557300558
968	1.55719344
969	1.557009578
970	1.556701245
971	1.556533993
972	1.55639956
973	1.556244347
974	1.555975129
975	1.555867986
976	1.555737189
977	1.555519492
978	1.555309655
979	1.555117963
980	1.554951694
981	1.554746414
982	1.554522342
983	1.55432328
984	1.554124085
985	1.553996095
986	1.553813153
987	1.553660396
988	1.553421217
989	1.553245122
990	1.553087286
991	1.552925887
992	1.552727403
993	1.55249114
994	1.552364312
995	1.552202933
996	1.55202865
997	1.551848921
998	1.551726335
999	1.551579951
